id,value
Certain conditions originating in the perinatal period,1306203631
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery",927970860
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy",128908879
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal hypertensive disorders",691510326
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by gestational oedema or proteinuria without hypertension",342852506
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal renal or urinary tract diseases",1283215780
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal infectious diseases",953221469
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal infectious diseases.Gonorrhoea complicating pregnancy, childbirth or puerperium, affecting foetus or newborn",28935546
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal infectious diseases.Maternal rubella affecting foetus or newborn",1410567079
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal infectious diseases.Syphilis complicating pregnancy, childbirth or puerperium, affecting foetus or newborn",33279384
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal infectious diseases.Tuberculosis complicating pregnancy, childbirth or puerperium, affecting foetus or newborn",2099426466
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by periodontal disease in mother",1400379324
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal circulatory diseases",1570426057
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal circulatory diseases.Antepartum thrombophlebitis affecting foetus or newborn",2038094350
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal circulatory diseases.Congenital maternal heart disease affecting foetus or newborn",1487774080
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal circulatory diseases.Foetus or newborn affected by maternal acute rheumatic fever",1035646539
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal circulatory diseases.Foetus or newborn affected by maternal congenital malformation of the circulatory system",2003020208
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal circulatory diseases.Maternal rheumatic heart disease affecting foetus or newborn",1387197556
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal respiratory diseases",994341690
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal nutritional disorders",779378525
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal nutritional disorders.Foetus or newborn affected by maternal malnutrition",774618890
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal nutritional disorders.Foetus or newborn affected by maternal overweight or obesity",1340749041
"Certain conditions originating in the perinatal period.Foetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery.Foetus or newborn affected by maternal conditions that may be unrelated to present pregnancy.Foetus or newborn affected by maternal nutritional disorders.Foetus or newborn affected by maternal overweight or obesity.Foetus or newborn affected by maternal obesity with body mass index, adult 30 to less than 40",1537031033
