id,value
Diseases of the ear or mastoid process,1218729044 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear,108076065 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural anomaly of eustachian apparatus,928929937 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural anomaly of eustachian apparatus.Congenital structural anomaly of eustachian apparatus,1666048818 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural anomaly of eustachian apparatus.Congenital structural anomaly of eustachian apparatus.Absence of Eustachian tube,1802567031 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural anomaly of eustachian apparatus.Acquired structural anomaly of eustachian apparatus,1386003316 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae,842877470 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Accessory tragus,1273705926 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Short ear,2034503174 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Cryptotia,1969605754 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Macrotia,52782345 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Lop or cup ear anomaly,1521838592 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Protruding ear,73836130 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Lobular defects,492283404 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Lobular defects.Congenital absence of lobe of ear,2035972378 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Lobular defects.Supernumerary lobule,864249569 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Auricular tag,292971640 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Auricular pit,1652337667 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Low-set ear,1630366712 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Crumpled ear,1295304010 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Pinna fistula or cyst,668258050 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Misshapen ear,314832996 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Preauricular tag,1451960792 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Preauricular pit,1946745789 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Minor anomalies of pinnae.Congenital auricle fistula,143465493 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Misplaced ear,20401466 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Misplaced ear.Posteriorly rotated pinna or auricle,374225699 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Synotia,1885038781 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment,1513496791 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Microtia,2005415414 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Microtia.Microtia Type 1,1308444224 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Microtia.Microtia Type 2,1931174920 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Microtia.Microtia Type 3,1456880076 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Anotia,2056675356 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Aplasia or hypoplasia of external auditory canal,534621578 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of ear ossicles,238760163 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of ear ossicles.Structural developmental anomalies of ear ossicles without defect of external ear,506632409 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of ear ossicles.Structural developmental anomalies of ear ossicles without defect of external ear.Malleoincudal fixation,1303515561 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of ear ossicles.Structural developmental anomalies of ear ossicles without defect of external ear.Incudostapedial dislocation,1100207061 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of ear ossicles.Structural developmental anomalies of ear ossicles without defect of external ear.Stapes fixation,801580214 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of ear ossicles.Structural developmental anomalies of ear ossicles with defect of external ear,992095397 
"Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of ear ossicles.Structural developmental anomalies of ear ossicles with defect of external ear.Hypoplasia, aplasia or malformation of the ossicular chain",718970712 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of ear ossicles.Structural developmental anomalies of ear ossicles with defect of external ear.Fusion defects of the ossicular chain,688252955 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of inner ear,413036259 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of inner ear.Structural developmental anomalies of the cochlea,1487921720 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of inner ear.Structural developmental anomalies involving one or more semicircular canal,141790201 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of inner ear.Structural developmental anomalies of the vestibule,1923149916 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of inner ear.Structural developmental anomalies of the vestibule.Vestibular dysplasia,1042057314 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of inner ear.Structural developmental anomalies of the internal auditory canal,61596183 
"Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Structural developmental anomalies of ear causing hearing impairment.Structural developmental anomalies of inner ear.Structural developmental anomalies of cochlea and one or more including semicircular canal, vestibule, auditory canal",1626785473 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Otocephaly,1403653959 
Diseases of the ear or mastoid process.Structural developmental anomalies of the ear.Accessory auricle,1718528157 
Diseases of the ear or mastoid process.Diseases of external ear,1046187143 
Diseases of the ear or mastoid process.Diseases of external ear.Otitis externa,1303990434 
Diseases of the ear or mastoid process.Diseases of external ear.Otitis externa.Infectious diseases of external ear,2035326404 
Diseases of the ear or mastoid process.Diseases of external ear.Otitis externa.Infectious diseases of external ear.Abscess of external ear,726212135 
Diseases of the ear or mastoid process.Diseases of external ear.Otitis externa.Infectious diseases of external ear.Abscess of external ear.Abscess of pinna,259296782 
Diseases of the ear or mastoid process.Diseases of external ear.Otitis externa.Infectious diseases of external ear.Abscess of external ear.Abscess of external auditory canal,63405569 
